id,title,content,create_at,city_id,user_id
1,Golden Gates,"This is a great landmark and worth a visit. BUT, if you have a rental car, beware of smash and grab thieves. Apparently the hoodlums look for cars with the renal car bar code in the windshield and target these cars for smash and grab. Our rear passenger window was broken out while we were away from our car only 15 minutes. We were fortunate to have not had anything in the car. A group of 6 tourists who had parked next to us in a minivan lost ALL their luggage, electronics etc. There were about six cars in the lot we were in that were broken into in that short period of time. The police were on site immediately; this is a known problem at this site. Park somewhere else, walk or taxi in. Then maybe you can enjoy this magnificent bridge without being the victim of thieves and vandals.",11/7/21 16:35,1,1
2,Alcatraz,Visiting Alcatraz is a MUST DO in the area. Sooooo interesting. A nice half-to- full day. Includes a fascinating self-guided tour with a recorded guide for you. Take as long as you want. Wonderful places for pictures.,11/7/21 16:35,1,1
3,Muir Woods,"An independent trip to the beautiful Muir Woods National Monument requires advance reservations, and finding parking in Sausalito can be difficult. Easily visit both must-see locations on this guided tour from San Francisco, which includes skip-the-line access at Muir Woods and a hassle-free stop at the charming waterfront town. At each destination, enjoy free time away from your group, so you can explore at your own pace.",11/7/21 16:35,1,1
4,Palace of Fine Arts,"Beautiful homes, beautiful people, and a beautiful backdrop of the Golden Gate Bridge welcome visitors to the Marina. Originally the location for the Panama-Pacific International Exposition in 1915 (whose remnants can be seen at the Palace of Fine Arts), much of the land was filled and flattened to accommodate a world's fair. That ample space has given way to a jogger's paradise at the northern edge of the city. With the picturesque bay setting as its backdrop, it�s no surprise that the area has hosted numerous movie productions. Daytime activities focus on cafe culture and boutique shopping, while the evenings turn this neighborhood into a party-going hotspot.",11/7/21 16:35,1,1
5,Golden Gates Park,We went all over this park. The only downside is the cost of entering some sections. We paid for the Japanese Tea Garden but would have been better to have paid for the conservatory instead. The trail to the ocean was nice as were the windmills and gardens. Also the lake island.,11/7/21 16:35,1,1
6,Statue of Liberty,"Visits to the Statue of Liberty National Monument and Ellis Island are musts in the Big Apple. On this guided tour, you get boarding on the ferry from Manhattan to visit the two important historical sites. Visit the grounds of Liberty Island and go inside the Statue of Liberty Museum. Then hop the ferry to Ellis Island and learn about the millions of people who arrived here between 1892 and 1954 in hope of living the American dream.",11/7/21 16:35,2,1
7,Central Park,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",11/7/21 16:35,2,1
8,Metropolitian Museum of Art,"At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",11/7/21 16:35,2,1
9,Chicago Architecture River Cruise,"Get views of Chicago's most famous buildings, as well as insider info from an expert guide, on this architecture-focused cruise. See all the most important buildings on one tour, a hard-to-accomplish task on foot. View the skyline from the Chicago River while listening to live commentary. Snap photos of the Willis (Sears) Tower, Old Post Office, 360 Chicago Observation Deck, Wrigley Building, and more.",11/7/21 16:35,3,1
10,Millenium Park,"Three square blocks of open lakefront complete with a Ferris Wheel, outdoor music pavillion and ice skating rink; expected to become one of the city's most popular sites.",11/7/21 16:35,3,1
11,The Art Institute of Chicago,"See why the Art Institute of Chicago is the only museum in the world to be top-ranked by TripAdvisor four years in a row! Experience the greatest Impressionist collection outside Paris, and view contemporary masterpieces in the spectacular Modern Wing. Stand before classics like Nighthawks, and travel the globe through galleries devoted to the art of ancient Greece, Japan, Africa, and the Americas.",11/7/21 16:35,3,1
12,London Bridge,London Bridge is falling down,11/7/21 16:35,6,1
13,St Paul's Cathedral,Bloody Magnificent,11/7/21 16:35,6,1
14,French Submarines,We all live in a yellow submarine,11/7/21 16:35,9,1
15,Eifel Tower,Teriffic,11/7/21 16:35,9,1
